datetime,WS_95_p_1,WS_95_p_2,WS_95_p_3,WS_95_p_4,WS_95_p_5,WS_95_p_6,OT
2019/1/1 1:00,18.76,19.47,20.46,20.51,20.35,20.95,18.5
2019/1/1 2:00,19.47,20.46,20.51,20.35,20.95,21.1,18.76
2019/1/1 3:00,20.46,20.51,20.35,20.95,21.1,20.71,19.47
2019/1/1 4:00,20.51,20.35,20.95,21.1,20.71,20.48,20.46
2019/1/1 5:00,20.35,20.95,21.1,20.71,20.48,21.04,20.51
2019/1/1 6:00,20.95,21.1,20.71,20.48,21.04,20.79,20.35
2019/1/1 7:00,21.1,20.71,20.48,21.04,20.79,20.44,20.95
2019/1/1 8:00,20.71,20.48,21.04,20.79,20.44,19.78,21.1
2019/1/1 9:00,20.48,21.04,20.79,20.44,19.78,20.8,20.71
2019/1/1 10:00,21.04,20.79,20.44,19.78,20.8,22.47,20.48
2019/1/1 11:00,20.79,20.44,19.78,20.8,22.47,21.26,21.04
2019/1/1 12:00,20.44,19.78,20.8,22.47,21.26,20.47,20.79
2019/1/1 13:00,19.78,20.8,22.47,21.26,20.47,19.08,20.44
2019/1/1 14:00,20.8,22.47,21.26,20.47,19.08,19.89,19.78
2019/1/1 15:00,22.47,21.26,20.47,19.08,19.89,20.78,20.8
2019/1/1 16:00,21.26,20.47,19.08,19.89,20.78,20.36,22.47
2019/1/1 17:00,20.47,19.08,19.89,20.78,20.36,18.82,21.26
2019/1/1 18:00,19.08,19.89,20.78,20.36,18.82,18.38,20.47
2019/1/1 19:00,19.89,20.78,20.36,18.82,18.38,18.9,19.08
2019/1/1 20:00,20.78,20.36,18.82,18.38,18.9,19.42,19.89
2019/1/1 21:00,20.36,18.82,18.38,18.9,19.42,19,20.78
2019/1/1 22:00,18.82,18.38,18.9,19.42,19,18.66,20.36
2019/1/1 23:00,18.38,18.9,19.42,19,18.66,18.82,18.82
2019/1/2 0:00,18.9,19.42,19,18.66,18.82,17.25,18.38
2019/1/2 1:00,19.42,19,18.66,18.82,17.25,16.81,18.9
2019/1/2 2:00,19,18.66,18.82,17.25,16.81,17.7,19.42
2019/1/2 3:00,18.66,18.82,17.25,16.81,17.7,17.55,19
2019/1/2 4:00,18.82,17.25,16.81,17.7,17.55,16.62,18.66
2019/1/2 5:00,17.25,16.81,17.7,17.55,16.62,17.31,18.82
2019/1/2 6:00,16.81,17.7,17.55,16.62,17.31,16.68,17.25
2019/1/2 7:00,17.7,17.55,16.62,17.31,16.68,17.7,16.81
2019/1/2 8:00,17.55,16.62,17.31,16.68,17.7,17.44,17.7
2019/1/2 9:00,16.62,17.31,16.68,17.7,17.44,17.2,17.55
2019/1/2 10:00,17.31,16.68,17.7,17.44,17.2,17.15,16.62
2019/1/2 11:00,16.68,17.7,17.44,17.2,17.15,16.1,17.31
2019/1/2 12:00,17.7,17.44,17.2,17.15,16.1,16.23,16.68
2019/1/2 13:00,17.44,17.2,17.15,16.1,16.23,15.94,17.7
2019/1/2 14:00,17.2,17.15,16.1,16.23,15.94,16.31,17.44
2019/1/2 15:00,17.15,16.1,16.23,15.94,16.31,17.2,17.2
2019/1/2 16:00,16.1,16.23,15.94,16.31,17.2,16.61,17.15
2019/1/2 17:00,16.23,15.94,16.31,17.2,16.61,15.66,16.1
2019/1/2 18:00,15.94,16.31,17.2,16.61,15.66,14.88,16.23
2019/1/2 19:00,16.31,17.2,16.61,15.66,14.88,16.12,15.94
2019/1/2 20:00,17.2,16.61,15.66,14.88,16.12,15.65,16.31
2019/1/2 21:00,16.61,15.66,14.88,16.12,15.65,15.66,17.2
2019/1/2 22:00,15.66,14.88,16.12,15.65,15.66,16.44,16.61
2019/1/2 23:00,14.88,16.12,15.65,15.66,16.44,17.12,15.66
2019/1/3 0:00,16.12,15.65,15.66,16.44,17.12,17.44,14.88
2019/1/3 1:00,15.65,15.66,16.44,17.12,17.44,17.42,16.12
2019/1/3 2:00,15.66,16.44,17.12,17.44,17.42,17.44,15.65
2019/1/3 3:00,16.44,17.12,17.44,17.42,17.44,16.79,15.66
2019/1/3 4:00,17.12,17.44,17.42,17.44,16.79,16.82,16.44
2019/1/3 5:00,17.44,17.42,17.44,16.79,16.82,16.48,17.12
2019/1/3 6:00,17.42,17.44,16.79,16.82,16.48,16.92,17.44
2019/1/3 7:00,17.44,16.79,16.82,16.48,16.92,15.95,17.42
2019/1/3 8:00,16.79,16.82,16.48,16.92,15.95,15.51,17.44
2019/1/3 9:00,16.82,16.48,16.92,15.95,15.51,15.59,16.79
2019/1/3 10:00,16.48,16.92,15.95,15.51,15.59,15.69,16.82
2019/1/3 11:00,16.92,15.95,15.51,15.59,15.69,16.78,16.48
2019/1/3 12:00,15.95,15.51,15.59,15.69,16.78,17.01,16.92
2019/1/3 13:00,15.51,15.59,15.69,16.78,17.01,17.49,15.95
2019/1/3 14:00,15.59,15.69,16.78,17.01,17.49,16.42,15.51
2019/1/3 15:00,15.69,16.78,17.01,17.49,16.42,15.36,15.59
2019/1/3 16:00,16.78,17.01,17.49,16.42,15.36,14.34,15.69
2019/1/3 17:00,17.01,17.49,16.42,15.36,14.34,13.4,16.78
2019/1/3 18:00,17.49,16.42,15.36,14.34,13.4,12.24,17.01
2019/1/3 19:00,16.42,15.36,14.34,13.4,12.24,10.7,17.49
2019/1/3 20:00,15.36,14.34,13.4,12.24,10.7,8.83,16.42
2019/1/3 21:00,14.34,13.4,12.24,10.7,8.83,5.16,15.36
2019/1/3 22:00,13.4,12.24,10.7,8.83,5.16,3.26,14.34
2019/1/3 23:00,12.24,10.7,8.83,5.16,3.26,3.65,13.4
2019/1/4 0:00,10.7,8.83,5.16,3.26,3.65,2.72,12.24
2019/1/4 1:00,8.83,5.16,3.26,3.65,2.72,1.1,10.7
2019/1/4 2:00,5.16,3.26,3.65,2.72,1.1,2.04,8.83
2019/1/4 3:00,3.26,3.65,2.72,1.1,2.04,1.58,5.16
2019/1/4 4:00,3.65,2.72,1.1,2.04,1.58,1.24,3.26
2019/1/4 5:00,2.72,1.1,2.04,1.58,1.24,1.16,3.65
2019/1/4 6:00,1.1,2.04,1.58,1.24,1.16,2.37,2.72
2019/1/4 7:00,2.04,1.58,1.24,1.16,2.37,6.24,1.1
2019/1/4 8:00,1.58,1.24,1.16,2.37,6.24,9.02,2.04
2019/1/4 9:00,1.24,1.16,2.37,6.24,9.02,8.91,1.58
2019/1/4 10:00,1.16,2.37,6.24,9.02,8.91,8.95,1.24
2019/1/4 11:00,2.37,6.24,9.02,8.91,8.95,8.28,1.16
2019/1/4 12:00,6.24,9.02,8.91,8.95,8.28,8.71,2.37
2019/1/4 13:00,9.02,8.91,8.95,8.28,8.71,7.95,6.24
2019/1/4 14:00,8.91,8.95,8.28,8.71,7.95,6.77,9.02
2019/1/4 15:00,8.95,8.28,8.71,7.95,6.77,5.97,8.91
2019/1/4 16:00,8.28,8.71,7.95,6.77,5.97,4.27,8.95
2019/1/4 17:00,8.71,7.95,6.77,5.97,4.27,4.28,8.28
2019/1/4 18:00,7.95,6.77,5.97,4.27,4.28,5.73,8.71
2019/1/4 19:00,6.77,5.97,4.27,4.28,5.73,7.29,7.95
2019/1/4 20:00,5.97,4.27,4.28,5.73,7.29,6.43,6.77
2019/1/4 21:00,4.27,4.28,5.73,7.29,6.43,5.56,5.97
2019/1/4 22:00,4.28,5.73,7.29,6.43,5.56,5.51,4.27
2019/1/4 23:00,5.73,7.29,6.43,5.56,5.51,5.63,4.28
2019/1/5 0:00,7.29,6.43,5.56,5.51,5.63,4.91,5.73
2019/1/5 1:00,6.43,5.56,5.51,5.63,4.91,6.06,7.29
2019/1/5 2:00,5.56,5.51,5.63,4.91,6.06,6.36,6.43
2019/1/5 3:00,5.51,5.63,4.91,6.06,6.36,6.06,5.56
2019/1/5 4:00,5.63,4.91,6.06,6.36,6.06,7.21,5.51
2019/1/5 5:00,4.91,6.06,6.36,6.06,7.21,8.06,5.63
2019/1/5 6:00,6.06,6.36,6.06,7.21,8.06,9.26,4.91
2019/1/5 7:00,6.36,6.06,7.21,8.06,9.26,10,6.06
2019/1/5 8:00,6.06,7.21,8.06,9.26,10,9.56,6.36
2019/1/5 9:00,7.21,8.06,9.26,10,9.56,8.62,6.06
2019/1/5 10:00,8.06,9.26,10,9.56,8.62,9.34,7.21
2019/1/5 11:00,9.26,10,9.56,8.62,9.34,8.89,8.06
2019/1/5 12:00,10,9.56,8.62,9.34,8.89,9.33,9.26
2019/1/5 13:00,9.56,8.62,9.34,8.89,9.33,10.13,10
2019/1/5 14:00,8.62,9.34,8.89,9.33,10.13,10.87,9.56
2019/1/5 15:00,9.34,8.89,9.33,10.13,10.87,10.26,8.62
2019/1/5 16:00,8.89,9.33,10.13,10.87,10.26,10.24,9.34
2019/1/5 17:00,9.33,10.13,10.87,10.26,10.24,10.27,8.89
2019/1/5 18:00,10.13,10.87,10.26,10.24,10.27,10.29,9.33
2019/1/5 19:00,10.87,10.26,10.24,10.27,10.29,11.08,10.13
2019/1/5 20:00,10.26,10.24,10.27,10.29,11.08,12.57,10.87
