leadtime,rmse,mape
0,1.6108143,0.20652261
1,1.7588645,0.21908604
2,1.8876872,0.22053874
3,2.0647395,0.23959905
4,2.1919024,0.25394687
5,2.2530968,0.2617561
6,2.3894029,0.28084758
7,2.4517708,0.29828906
8,2.5966036,0.31292903
9,2.6313846,0.31954932
10,2.6856496,0.33208197
11,2.9417498,0.36162362
12,3.1289456,0.38656527
13,3.3875787,0.431038
14,3.5910583,0.44462612
15,3.7364154,0.4824104
16,3.8932934,0.5119542
17,4.034771,0.5266716
18,4.199659,0.55861825
19,4.2943354,0.5735537
20,4.3693323,0.5932675
21,4.4432755,0.5974162
22,4.5088286,0.6065498
23,4.5830145,0.6197652
24,4.6478906,0.62215394
25,4.7564573,0.63897353
26,4.808237,0.6481277
27,4.9326396,0.6456342
28,4.993082,0.66748255
29,5.0552144,0.6775346
30,5.1471496,0.67815167
31,5.226004,0.67583364
32,5.268511,0.69549084
33,5.397682,0.6846675
34,5.460032,0.6939043
35,5.495804,0.7119023
36,5.57276,0.71588653
37,5.601494,0.730942
38,5.64692,0.7362235
39,5.720117,0.7564241
40,5.752702,0.7700377
41,5.7728157,0.7780374
42,5.838479,0.7966715
43,5.8586087,0.8129678
44,5.920237,0.8120726
45,5.9184995,0.81978357
46,5.951625,0.84334487
47,5.980486,0.8381661
48,6.0024095,0.8414664
49,6.0537357,0.8401385
50,6.078917,0.84378684
51,6.1010094,0.84178495
52,6.082209,0.8561826
53,6.1139235,0.8653846
54,6.1415763,0.8626508
55,6.1451716,0.8614689
56,6.1514554,0.87103933
57,6.2118897,0.8625999
58,6.194488,0.87304544
59,6.201563,0.8806413
60,6.218138,0.8963018
61,6.260417,0.8992454
62,6.2654386,0.9149456
63,6.2930927,0.9351181
64,6.316484,0.9514462
65,6.358272,0.95496446
66,6.3562245,0.9669843
67,6.399287,0.9666701
68,6.4179883,0.9902354
69,6.3813615,0.9761339
70,6.4066353,0.9842973
71,6.4407187,0.9852537
72,6.4694057,0.98393035
73,6.506161,0.97903955
74,6.506309,0.9890186
75,6.5230613,1.0066411
76,6.580626,0.9926969
77,6.5747404,0.9908524
78,6.592406,0.99603564
79,6.5940447,0.9836707
80,6.6187077,0.9881089
81,6.5937524,0.9982828
82,6.6143126,0.9905108
83,6.6032414,0.990969
84,6.5836105,1.0085816
85,6.6032414,0.9946614
86,6.63911,0.9819661
87,6.6080937,0.99676305
88,6.640423,0.98670703
89,6.628468,0.99812573
90,6.6120143,0.99873817
91,6.6651883,0.9890673
92,6.6684895,0.99253124
93,6.6634183,1.012329
94,6.678172,1.0156527
95,6.698362,1.0003345
