leadtime,rmse,mape
0,7.798886,0.744705
1,7.4791975,0.7641662
2,7.479811,0.7642136
3,7.48005,0.76405805
4,7.479374,0.7640499
5,7.478849,0.7643718
6,7.4775443,0.76519346
7,7.476998,0.7659151
8,7.4768114,0.7658228
9,7.4762225,0.76532036
10,7.4763474,0.7650896
11,7.4767985,0.7649999
12,7.4764876,0.7652958
13,7.476612,0.76567256
14,7.477071,0.7656972
15,7.4774146,0.76497006
16,7.479532,0.7647424
17,7.4811068,0.7650068
18,7.4801874,0.76518714
19,7.47718,0.7651402
20,7.4764514,0.76510626
21,7.476579,0.7647758
22,7.476413,0.7639923
23,7.476485,0.76357234
24,7.4764175,0.7630097
25,7.4766254,0.7627168
26,7.478393,0.76298875
27,7.480754,0.76364356
28,7.483661,0.76428
29,7.487055,0.76453066
30,7.4900465,0.7645371
31,7.493255,0.76460266
32,7.496162,0.7648554
33,7.4972234,0.7650806
34,7.496774,0.7652516
35,7.4957595,0.7653819
36,7.495503,0.76553893
37,7.496342,0.7657858
38,7.4965353,0.76603365
39,7.496872,0.76638603
40,7.496913,0.76645344
41,7.496926,0.7662846
42,7.4967175,0.7660356
43,7.4965224,0.76552206
44,7.496901,0.7658692
45,7.497636,0.767997
46,7.497928,0.7686224
47,7.4979186,0.76879936
48,7.4976516,0.76838976
49,7.4974113,0.767046
50,7.497571,0.7664782
51,7.497786,0.766387
52,7.497609,0.7663635
53,7.497177,0.76622504
54,7.496907,0.7659315
55,7.496927,0.7654893
56,7.497113,0.76504165
57,7.4977126,0.7648182
58,7.498683,0.76458836
59,7.4989896,0.7643797
60,7.498528,0.76447237
61,7.498159,0.7647823
62,7.497806,0.7649987
63,7.4975157,0.7651956
64,7.4974465,0.76548237
65,7.497437,0.76548904
66,7.497803,0.7653871
67,7.4982543,0.7652082
68,7.4986687,0.76507485
69,7.4991713,0.7652111
70,7.500117,0.7655955
71,7.5042706,0.7660267
72,7.509043,0.76625746
73,7.514472,0.76632947
74,7.520405,0.7663732
75,7.525852,0.76649773
76,7.53212,0.7666773
77,7.5375037,0.7669062
78,7.5407586,0.76712567
79,7.544276,0.7672346
80,7.5487456,0.76734185
81,7.553314,0.767586
82,7.5576453,0.76797503
83,7.561759,0.7682697
84,7.5656075,0.7684542
85,7.569831,0.76864195
86,7.5739126,0.76881325
87,7.5776033,0.7689809
88,7.5806427,0.7691645
89,7.584215,0.7694231
90,7.587389,0.7694655
91,7.591241,0.7695008
92,7.5945835,0.7696122
93,7.5980444,0.76996124
94,7.5998874,0.7697658
95,8.0129795,0.7448044
