leadtime,rmse,mape
0,1.5110745,0.183184
1,1.768885,0.20627251
2,2.1657407,0.24698508
3,2.238749,0.25043297
4,2.3487248,0.2626476
5,2.5801408,0.28861493
6,2.669143,0.30346626
7,2.6511855,0.2999076
8,2.705689,0.3080644
9,2.6679409,0.29868218
10,2.7609951,0.31297076
11,2.9302487,0.3500127
12,3.176298,0.3908833
13,3.3502126,0.44432384
14,3.5874655,0.4709158
15,3.745585,0.50059885
16,3.8889234,0.52807003
17,4.0329204,0.5391515
18,4.1134167,0.5488593
19,4.2036033,0.5603866
20,4.3260655,0.58347297
21,4.4029827,0.5989657
22,4.481256,0.6049544
23,4.545202,0.6305662
24,4.643074,0.6309964
25,4.7062106,0.64312786
26,4.802471,0.6421537
27,4.9021444,0.64591175
28,5.0004444,0.6632195
29,5.061152,0.65908194
30,5.093985,0.6825284
31,5.1483335,0.69192916
32,5.2228036,0.69729435
33,5.278161,0.70338994
34,5.373001,0.7002727
35,5.4140973,0.72185004
36,5.4586115,0.7274917
37,5.503294,0.7426321
38,5.555453,0.76147485
39,5.6170545,0.75710964
40,5.6552315,0.7866948
41,5.7008233,0.7939124
42,5.7215295,0.81279165
43,5.752414,0.82122767
44,5.7844033,0.81760997
45,5.827643,0.82765955
46,5.8416586,0.8370707
47,5.8710017,0.8445223
48,5.89626,0.8512472
49,5.916196,0.86137426
50,5.946316,0.8578818
51,5.95967,0.8615018
52,5.9823513,0.8676252
53,5.9921346,0.8735612
54,5.976954,0.8884495
55,6.0339065,0.8769324
56,6.0505295,0.8816195
57,6.053698,0.89980733
58,6.066119,0.9030926
59,6.0994363,0.91549903
60,6.0954704,0.93319404
61,6.1390333,0.9331843
62,6.157478,0.94553024
63,6.192724,0.9547589
64,6.2196355,0.96030897
65,6.2488422,0.9605963
66,6.2824407,0.9784395
67,6.2848277,0.97339004
68,6.307117,0.9757638
69,6.330844,0.9807352
70,6.36468,0.99117553
71,6.386295,0.9951287
72,6.413175,0.99722564
73,6.4320216,1.0015281
74,6.4516788,1.0047393
75,6.467247,1.0113698
76,6.47925,1.0084299
77,6.4769053,0.99969274
78,6.485645,1.0067846
79,6.4857507,1.0156546
80,6.49014,1.0069193
81,6.514335,1.0005475
82,6.4954658,1.014102
83,6.4860654,1.0080773
84,6.513237,0.9975483
85,6.50171,1.0170115
86,6.5453305,0.99041885
87,6.530457,1.0133353
88,6.551216,1.004067
89,6.549736,1.0053015
90,6.5735393,1.0087385
91,6.5736923,1.0031352
92,6.578294,0.9992419
93,6.5652695,1.0119977
94,6.583949,1.0115657
95,6.61175,0.99913
