leadtime,rmse,mape
0,2.1246684,0.24400714
1,2.2705073,0.24212746
2,2.4307847,0.26358536
3,2.493717,0.27233592
4,2.6255584,0.28230542
5,2.7713294,0.30810723
6,2.9472191,0.3307007
7,3.0576284,0.3428304
8,3.0797193,0.35401675
9,3.3473606,0.38469917
10,3.471793,0.3960957
11,3.5979776,0.41459608
12,3.6429484,0.42560953
13,3.862269,0.45438188
14,4.0277157,0.4726674
15,4.083342,0.49336377
16,4.1316867,0.49816597
17,4.166818,0.5198487
18,4.3155303,0.53391093
19,4.4651217,0.54102945
20,4.482842,0.5504641
21,4.5653787,0.5576371
22,4.635498,0.5758962
23,4.7809606,0.5744994
24,4.8708296,0.5798677
25,4.884822,0.59111154
26,4.983076,0.5942754
27,4.993137,0.60760903
28,5.1481657,0.61713624
29,5.2676997,0.6281355
30,5.3539624,0.63601655
31,5.4293566,0.64103055
32,5.469965,0.6477621
33,5.509647,0.6668122
34,5.62688,0.6760168
35,5.655333,0.6811297
36,5.760974,0.69163895
37,5.7100186,0.6998724
38,5.8728495,0.70349586
39,5.943252,0.71978515
40,5.892918,0.721707
41,5.9139686,0.72789264
42,5.9272184,0.7402944
43,6.0390744,0.75196195
44,6.0906596,0.7529386
45,6.103683,0.75919783
46,6.188699,0.7770822
47,6.221926,0.79362315
48,6.267847,0.8007609
49,6.325564,0.79376394
50,6.350993,0.8157933
51,6.3934765,0.828895
52,6.3831577,0.84272116
53,6.4783006,0.8617823
54,6.510691,0.85229206
55,6.510571,0.86244637
56,6.5284605,0.8613605
57,6.5349326,0.87853366
58,6.724665,0.8736761
59,6.660828,0.8785217
60,6.670921,0.882226
61,6.64578,0.89566094
62,6.6904845,0.9055323
63,6.874187,0.9064741
64,6.839552,0.9265308
65,6.826468,0.92643946
66,6.8854833,0.948092
67,6.8954835,0.94183844
68,7.0192347,0.9606107
69,7.026799,0.9644021
70,6.90067,0.9679971
71,6.9851456,0.9837563
72,7.023956,0.9874057
73,7.139367,0.9853198
74,7.1409335,0.98357403
75,7.07641,0.98784274
76,7.0670004,0.9907087
77,7.0698266,1.00147
78,7.2033167,0.9974693
79,7.136049,0.9942228
80,7.092957,0.97327805
81,7.0987635,0.9663702
82,7.0033092,0.9689999
83,7.113159,0.97603935
84,7.1453757,0.9730961
85,7.1304107,0.9741607
86,7.0753503,0.9675595
87,7.071546,0.9825743
88,7.151895,0.9546177
89,7.19551,0.9562525
90,7.162766,0.95724505
91,7.163125,0.95908624
92,7.1919494,0.96695936
93,7.1317024,0.98259073
94,7.1931953,0.97447246
95,7.221736,0.97575337
