leadtime,rmse,mape
0,1.7192678,0.20492363
1,2.0014424,0.23500623
2,2.453387,0.29452264
3,2.6467326,0.31272748
4,2.8196428,0.3340469
5,3.026656,0.3613669
6,3.160187,0.39521128
7,3.2091203,0.4139495
8,3.2775085,0.40799105
9,3.3187592,0.4200228
10,3.4078662,0.4231263
11,3.5205638,0.44007853
12,3.6206832,0.45208484
13,3.6696687,0.47785795
14,3.7641177,0.46367827
15,3.8339994,0.47183517
16,3.9150517,0.48866928
17,4.0198627,0.50775135
18,4.0628476,0.50944084
19,4.143305,0.52019435
20,4.2477818,0.5337971
21,4.3358464,0.5684473
22,4.420615,0.56307584
23,4.5325613,0.60086954
24,4.6371517,0.5889764
25,4.713179,0.60873854
26,4.8259044,0.6098794
27,4.9473295,0.62043977
28,5.0389833,0.63327044
29,5.0942755,0.6307851
30,5.146886,0.656785
31,5.207513,0.6718587
32,5.281571,0.6758499
33,5.3301296,0.6832366
34,5.444825,0.67819726
35,5.5232563,0.701248
36,5.527322,0.68996716
37,5.5815444,0.70242935
38,5.6335216,0.72578174
39,5.701137,0.718722
40,5.7209506,0.74261624
41,5.7695937,0.75557
42,5.791724,0.7573051
43,5.836113,0.7731342
44,5.897236,0.77112126
45,5.945015,0.7928781
46,5.9556365,0.80139
47,5.989917,0.8111346
48,6.0384617,0.8274797
49,6.0681257,0.8468718
50,6.114513,0.8530894
51,6.1529865,0.8564118
52,6.195369,0.8659562
53,6.205943,0.8730541
54,6.186968,0.8896131
55,6.26313,0.87386334
56,6.295321,0.8772614
57,6.3035674,0.89644676
58,6.3552985,0.8934066
59,6.390665,0.9097529
60,6.3809686,0.92247957
61,6.4323597,0.9252653
62,6.472267,0.93012476
63,6.497838,0.9441782
64,6.5484095,0.9481813
65,6.5773144,0.95161605
66,6.619808,0.9618286
67,6.6085334,0.9533246
68,6.630607,0.9607869
69,6.66116,0.96253556
70,6.684692,0.9806667
71,6.717683,0.9776172
72,6.7535744,1.0018145
73,6.7535133,0.9980303
74,6.7805214,1.0078316
75,6.7813735,1.0059403
76,6.7749424,1.0035564
77,6.7655644,0.9821058
78,6.761523,0.9953547
79,6.7664485,1.0017763
80,6.790374,0.9992824
81,6.8030744,0.97821397
82,6.7865224,0.9918155
83,6.786132,0.99698454
84,6.8331094,0.9935669
85,6.8070226,1.0061741
86,6.872937,0.9947928
87,6.8461742,0.9999809
88,6.8845696,0.98733264
89,6.8895965,0.9990455
90,6.918016,0.9939438
91,6.9317303,0.9862845
92,6.928235,0.9815778
93,6.920103,0.994469
94,6.9398427,1.0043969
95,6.942654,0.98933834
