leadtime,rmse,mape
0,0.42791295,1.3069768
1,0.5317565,1.8315156
2,0.46335924,1.5583445
3,0.40509194,1.2024715
4,0.36970305,1.0296849
5,0.3520246,1.0321134
6,0.3454684,1.0046393
7,0.3453974,1.1116548
8,0.35852033,1.174566
9,0.3880945,1.3144175
10,0.43291098,1.5227634
11,0.49185106,1.8019793
12,0.5497951,2.0063717
13,0.5938709,2.137114
14,0.6265973,2.1173942
15,0.65684474,1.9945701
16,0.6859854,1.9130692
17,0.7096775,1.9885765
18,0.7303246,2.1985471
19,0.7508765,2.364226
20,0.76940125,2.3672209
21,0.7831899,2.098351
22,0.792766,1.7259318
23,0.80101174,1.575648
24,0.81082934,1.5997106
25,0.82490736,1.5707945
26,0.8434376,1.591354
27,0.85748047,1.6673025
28,0.86596036,1.7664757
29,0.8728584,1.817447
30,0.8820648,1.7409759
31,0.90139705,1.5845599
32,0.9312156,1.4426441
33,0.95756495,1.5945767
34,0.9744448,1.6291988
35,0.98141277,1.5450466
36,0.9807152,1.4030619
37,0.9839292,1.3247379
38,0.9948563,1.3636384
39,1.0097514,1.3959132
40,1.026076,1.3634595
41,1.0386584,1.3179542
42,1.0402774,1.3443677
43,1.0355111,1.3766205
44,1.0342623,1.3927821
45,1.0379143,1.4747075
46,1.0445948,1.5743953
47,1.0520389,1.6248161
48,1.056825,1.6529431
49,1.063869,1.7059816
50,1.0765201,1.7821339
51,1.0839789,1.8498464
52,1.0829655,1.8705952
53,1.08208,1.844557
54,1.0831848,1.7973534
55,1.0811657,1.7976476
56,1.0795972,1.8777257
57,1.0833228,1.9217204
58,1.0909326,1.9208388
59,1.1016525,1.9028434
60,1.1113602,1.8647323
61,1.113687,1.8069555
62,1.1105692,1.7403419
63,1.1063868,1.7060019
64,1.104615,1.7173853
65,1.109001,1.7191029
66,1.1160959,1.7200736
67,1.117828,1.752989
68,1.1146735,1.7701968
69,1.1123936,1.7279316
70,1.1106477,1.6695877
71,1.1137366,1.6367952
72,1.1245542,1.6034311
73,1.1363517,1.5615187
74,1.1413409,1.5392967
75,1.1392999,1.4674326
76,1.1341068,1.3643117
77,1.131839,1.4255315
78,1.1384579,1.375081
79,1.1511093,1.3635617
80,1.1598052,1.4618667
81,1.160686,1.6183873
82,1.1561018,1.7091954
83,1.1513747,1.7264061
84,1.1527685,1.7104914
85,1.1576289,1.6667082
86,1.1595633,1.591555
87,1.1561204,1.5236189
88,1.1491345,1.4698654
89,1.145174,1.4545895
90,1.1498628,1.4671357
91,1.159119,1.5242121
92,1.1619972,1.6183225
93,1.1553577,1.7481713
94,1.1441169,1.9025245
95,1.1864095,2.06421
